ticker,company_name,sector,industry,current_price,market_cap,financial_score,moat_score,risk_deduction,total_score,passing,dividend_yield
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,296.46,15501853696.0,4.0,3.0,0.0,7.0,True,1.84
GRMN,Garmin Ltd.,Technology,Scientific & Technical Instruments,203.59,39189843968.0,4.0,3.0,0.0,7.0,True,1.77
WBS,Webster Financial Corporation,Financial Services,Banks - Regional,62.49,10385129472.0,4.0,3.0,0.0,7.0,True,2.56
FCNCA,"First Citizens BancShares, Inc.",Financial Services,Banks - Regional,1971.82,25246969856.0,4.0,3.0,0.0,7.0,True,0.43
MNDO,MIND C.T.I. Ltd,Technology,Software - Application,1.23,25050582.0,4.0,3.0,0.0,7.0,True,17.89
SHG,"Shinhan Financial Group Co., Ltd.",Financial Services,Banks - Regional,54.25,26533083136.0,4.0,3.0,0.0,7.0,True,2.93
RMD,ResMed Inc.,Healthcare,Medical Instruments & Supplies,256.55,37447651328.0,4.0,3.0,0.0,7.0,True,0.94
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,181.76,433213374464.0,3.0,4.0,0.0,7.0,True,0.0
BBD,Banco Bradesco S.A.,Financial Services,Banks - Regional,3.31,35009908736.0,4.0,3.0,0.0,7.0,True,5.45
BBDO,Banco Bradesco S.A.,Financial Services,Banks - Regional,2.98,33817833472.0,4.0,3.0,0.0,7.0,True,4.04
RF,Regions Financial Corporation,Financial Services,Banks - Regional,26.28,23449864192.0,4.0,3.0,0.0,7.0,True,4.03
